Updated at: 2025-01-03 23:07:08
Currency | Current Price
----------------------------------------
Micro 10-Year Yield Futures | 4.572
Micro 2-Year Yield Futures | 4.225
Micro 30-Year Yield Futures | 4.639
30-Year UMBS TBA Futures - 5.5% Coupon | 98'20'7
Micro 5-Year Yield Futures | 4.950
30-Year UMBS TBA Futures - 6.0% Coupon | 100'16'5
Australian Dollar Futures | 0.62185
British Pound Futures | 1.2421
Canadian Dollar Futures | 0.69405
Euro FX Futures | 1.03350
Japanese Yen Futures | 0.0064260
Brazilian Real Futures | 0.16120
Mexican Peso Futures | 0.04782
New Zealand Dollar Futures | 0.56175
Swiss Franc Futures | 1.10905
South African Rand Futures | 0.052925
Argus Propane (Saudi Aramco) Futures | 628.750
SGX TSI FOB Australia Premium Coking Coal Futures | 206.00
Murban Crude Oil Futures | 76.83
Silver Futures | 7673
Aluminium High Grade Futures | 2486.44
Aluminum Futures | 19900
Aluminum Futures | 2459.00
Aluminium Mini Futures | 238.80
Aluminium Futures | 238.30
ASX SPI 200 Index Futures | 8262
API2 Rotterdam Coal Futures | 113.30
Gold Futures | 626.36
Bloomberg Commodity Index Futures | 98.74
Ethanol T2 FOB Rdam Including Duty (Platts) Futures | 655.193
GIFT NIFTY BANK INDEX FUTURES | 51773
BANKNIFTY INDEX FUTURES | 51259.20
Live Cattle Futures | 324.75
BSE BANKEX | 58348.90
Block Cheese Futures | 1.920
Butadiene Rubber Futures | 13150
Brent Crude Oil Futures | 76.44
Brent Crude Oil Futures | 2502.0
Brent Crude Futures | 76.61
SENSEX INDEX FUTURES | 79770.25
Bitcoin Futures | 98805
Bitumen Futures | 3705
BUX Index Futures | 85330
Brent Last Day Financial Futures | 76.62
London Cocoa Futures | 9020
Long Swiss Confederation Bond Futures | 149.51
Grade A Copper Futures | 8822.00
Castor Seed Futures | 6374
Cash-settled Butter Futures | 261.950
Cocoa Futures | 11350
Cash Settled Corn | 73.23
Cocoa Futures | 11137
Crude Oil Futures | 74.13
FTSE CHINA A50 INDEX Futures | 13031
Standard-Size USD/Offshore RMB (CNH) Futures | 7.3620
Cobalt Futures | 24300
Cobalt Metal (Fastmarkets) Futures | 10.95
Undecorticated Cotton Seed Oilcake – Akola Futures | 2735
Copper Futures | 802.10
COTTONCNDY Futures | 54470
USD Malaysian Crude Palm Oil Calendar Futures | 954.25
Futures on CNY/RUB Exchange Rate | 14.271
Crude Oil Futures | 6368
Crude Oil Mini Futures | 6366
Cash-Settled Cheese Futures | 1.906
Cotton No. 2 Futures | 67.73
Copper Cathode Futures | 73060
Chicago Ethanol (Platts) Futures | 1.6775
USD/CNH Futures | 7.3610
Singapore Mogas 92 Unleaded (Platts) Brent Crack Spread Futures | 7.622
ID x IPCA Spread Futures | 3.81
DAX Futures | 20144
Class III Milk Futures | 20.43
ID x U.S. Dollar Spread Futures | 9.132
German Power Baseload Calendar Month Futures | 114.92
Coriander Futures | 7812
One-day Interbank Deposit Futures | 15.095
DJIA Futures | 42910
Dollar Futures | 1058.0
US Dollar Futures | 6200.5
US Dollar Index® Futures | 108.750
E-mini Euro FX Futures | 1.0336
EUA FUTURES | 74.89
EUA Futures | 75.94
Euro-US Dollar Futures | 1.0207
E-mini S&P MidCap 400 Futures | 3163.9
SA Base Load Month Electricity Futures | 63.11
E-mini S&P 500 Futures | 5976.00
Euro Short-Term Rate (€STR) Futures | 96.88125
BTIC E-mini S&P 500 Futures | 47.35
Hydrous Ethanol Futures | 2790.0
Ethereum Futures | 3612.5
Euro-Ruble Futures | 108301
EURINR Futures | 88.8350
Euro/Turkish Lira Futures | 37.398
EURUSD Futures | 1.0350
EURO/USD Futures | 1.0316
EURUSD Futures | 1.0340
ATX Futures | 3673.0
Eurex Daily Futures on KOSPI 200 Futures | 325.95
Euro-BONO Futures-Fixed Income Fut Futures | 123.97
Long-Term Euro-BTP Futures-Fixed Income Fut Futures | 119.40
CAC 40 INDEX FUTURES | 7284.0
EUR/USD Futures | 1.03194
Crude Palm Oil Futures | 4368
DAX Futures | 20046
Mini-DAX Futures | 20046
Micro-DAX Futures | 20046
SGX TSI Iron Ore CFR China (62% Fe Fines) Index Futures | 99.30
EURO STOXX Banks Futures | 145.45
EURO STOXX 50 Index Futures | 4891
OMXH25 Futures | 4357.0
Euro-Bund Futures-Fixed Income Fut Futures | 132.65
Euro-Bobl Futures-Fixed Income Fut Futures | 117.40
Euro-Schatz Futures-Fixed Income Fut Futures | 106.805
EURO-Buxl Futures-Fixed Income Fut Futures | 130.66
Gold Futures | 2667.8
FINNIFTY FUTURES | 23862.60
FTSE Bursa Malaysia KLCI Futures | 1630.5
MSCI World Index Futures | 11929
MICRO NYSE FANG+™ Index Futures | 13457.4
Euro-OAT Futures-Fixed Income Fut Futures | 122.46
SMI Futures | 11612
DCE Soybean Oil Futures | 1093.75
3M SARON Futures | 99.590
AEX INDEX FUTURES | 887.10
FTSE 100 Index Futures | 8235.0
Fuel Oil Futures | 3284
US Dollar Futures | 4.1611
FVS-VSTOXX Futures | 17.25
WIG20 INDEX FUTURES | 2258
WIG40 INDEX FUTURES | 6403
STOXX Europe 600 Index Futures | 509.8
Short Gilt Futures | 96.26
Long German Bond Future (Bund) | 132.68
Ultra Long German Bond Future (Buxl) | 130.78
10Yr GBP SONIA Swapnote | 91.24
GBPINR Futures | 107.1425
GBPUSD Futures | 1.2478
GBP/USD Futures | 1.2409
Gold Futures | 2655.6
Gold Futures | 2694.6
CBL Global Emissions Offset Futures | 0.15
Feeder Cattle Futures | 267.250
10 Baht Gold Futures | 43580
Nonfat Dry Milk Futures | 139.500
Gold Online Futures | 2674.0
Gold Futures | 77335
Gold Guinea Futures | 62422
Gold Mini Futures | 77346
Gold Petal Futures | 7714
Guar Gum Refined Splits Futures | 10573
Guar Seed Futures | 5423
UK NBP Natural Gas Futures | 123.82
Medium Gilt Futures | 98.57
Hot Rolled Coils Futures | 3391
Lean Hog Futures | 81.450
Copper Futures | 4.0810
